InspectionID,VehicleID,Date,Model,Shift,Station,Result,Defect,ReworkMinutes,UpdatedAt
DEMO-00805-3,DEMO-00805,2026-08-27,Compact A,A,Final,PASS,None,0,2026-08-27T16:00:00
DEMO-00765-2,DEMO-00765,2026-08-26,Compact A,C,Paint,PASS,None,0,2026-08-26T16:00:00
DEMO-00525-2,DEMO-00525,2026-08-18,Compact A,C,Paint,PASS,None,0,2026-08-18T16:00:00
DEMO-00532-1,DEMO-00532,2026-08-18,Compact B,A,Body,PASS,None,0,2026-08-18T16:00:00
DEMO-00091-3,DEMO-00091,2026-08-04,Compact A,A,Final,PASS,None,0,2026-08-04T16:00:00
DEMO-00418-2,DEMO-00418,2026-08-14,Compact B,A,Paint,PASS,None,0,2026-08-14T16:00:00
DEMO-00529-2,DEMO-00529,2026-08-18,Compact A,A,Paint,PASS,None,0,2026-08-18T16:00:00
DEMO-00252-2,DEMO-00252,2026-08-09,Compact B,C,Paint,PASS,None,0,2026-08-09T16:00:00
DEMO-00481-2,DEMO-00481,2026-08-17,Compact A,A,Paint,PASS,None,0,2026-08-17T16:00:00
DEMO-00536-3,DEMO-00536,2026-08-18,Compact B,B,Final,PASS,None,0,2026-08-18T16:00:00
DEMO-00673-2,DEMO-00673,2026-08-23,Compact A,A,Paint,PASS,None,0,2026-08-23T16:00:00
DEMO-00832-2,DEMO-00832,2026-08-28,Compact B,A,Paint,PASS,None,0,2026-08-28T16:00:00
DEMO-00683-1,DEMO-00683,2026-08-23,Compact A,B,Body,PASS,None,0,2026-08-23T16:00:00
DEMO-00292-3,DEMO-00292,2026-08-10,Compact B,A,Final,PASS,None,0,2026-08-10T16:00:00
DEMO-00041-3,DEMO-00041,2026-08-02,Compact A,B,Final,PASS,None,0,2026-08-02T16:00:00
DEMO-00364-2,DEMO-00364,2026-08-13,Compact B,A,Paint,PASS,None,0,2026-08-13T16:00:00
DEMO-00460-2,DEMO-00460,2026-08-16,Compact B,A,Paint,FAIL,Paint finish,37,2026-08-16T16:00:00
DEMO-00627-2,DEMO-00627,2026-08-21,Compact A,C,Paint,PASS,None,0,2026-08-21T16:00:00
DEMO-00651-1,DEMO-00651,2026-08-22,Compact A,C,Body,PASS,None,0,2026-08-22T16:00:00
DEMO-00697-3,DEMO-00697,2026-08-24,Compact A,A,Final,PASS,None,0,2026-08-24T16:00:00
DEMO-00557-3,DEMO-00557,2026-08-19,Compact A,B,Final,PASS,None,0,2026-08-19T16:00:00
DEMO-00797-1,DEMO-00797,2026-08-27,Compact A,B,Body,PASS,None,0,2026-08-27T16:00:00
DEMO-00167-3,DEMO-00167,2026-08-06,Compact A,B,Final,PASS,None,0,2026-08-06T16:00:00
DEMO-00385-1,DEMO-00385,2026-08-13,Compact A,A,Body,PASS,None,0,2026-08-13T16:00:00
DEMO-00410-1,DEMO-00410,2026-08-14,Compact B,B,Body,PASS,None,0,2026-08-14T16:00:00
DEMO-00776-1,DEMO-00776,2026-08-26,Compact B,B,Body,PASS,None,0,2026-08-26T16:00:00
DEMO-00101-2,DEMO-00101,2026-08-04,Compact A,B,Paint,PASS,None,0,2026-08-04T16:00:00
DEMO-00525-1,DEMO-00525,2026-08-18,Compact A,C,Body,PASS,None,0,2026-08-18T16:00:00
DEMO-00686-2,DEMO-00686,2026-08-23,Compact B,B,Paint,PASS,None,0,2026-08-23T16:00:00
DEMO-00787-1,DEMO-00787,2026-08-27,Compact A,A,Body,PASS,None,0,2026-08-27T16:00:00
DEMO-00308-2,DEMO-00308,2026-08-11,Compact B,B,Paint,PASS,None,0,2026-08-11T16:00:00
DEMO-00389-3,DEMO-00389,2026-08-13,Compact A,B,Final,PASS,None,0,2026-08-13T16:00:00
DEMO-00565-3,DEMO-00565,2026-08-19,Compact A,A,Final,PASS,None,0,2026-08-19T16:00:00
DEMO-00408-1,DEMO-00408,2026-08-14,Compact B,C,Body,PASS,None,0,2026-08-14T16:00:00
DEMO-00057-2,DEMO-00057,2026-08-02,Compact A,C,Paint,FAIL,Paint finish,8,2026-08-02T16:00:00
DEMO-00005-2,DEMO-00005,2026-08-01,Compact A,B,Paint,PASS,None,0,2026-08-01T16:00:00
DEMO-00568-3,DEMO-00568,2026-08-19,Compact B,A,Final,PASS,None,0,2026-08-19T16:00:00
DEMO-00709-2,DEMO-00709,2026-08-24,Compact A,A,Paint,PASS,None,0,2026-08-24T16:00:00
DEMO-00694-2,DEMO-00694,2026-08-24,Compact B,A,Paint,PASS,None,0,2026-08-24T16:00:00
DEMO-00431-2,DEMO-00431,2026-08-15,Compact A,B,Paint,PASS,None,0,2026-08-15T16:00:00
DEMO-00401-3,DEMO-00401,2026-08-14,Compact A,B,Final,PASS,None,0,2026-08-14T16:00:00
DEMO-00368-1,DEMO-00368,2026-08-13,Compact B,B,Body,PASS,None,0,2026-08-13T16:00:00
DEMO-00616-3,DEMO-00616,2026-08-21,Compact B,A,Final,PASS,None,0,2026-08-21T16:00:00
DEMO-00380-3,DEMO-00380,2026-08-13,Compact B,B,Final,FAIL,Fit and finish,24,2026-08-13T16:00:00
DEMO-00249-3,DEMO-00249,2026-08-09,Compact A,C,Final,PASS,None,0,2026-08-09T16:00:00
DEMO-00071-3,DEMO-00071,2026-08-03,Compact A,B,Final,FAIL,Function check,29,2026-08-03T16:00:00
DEMO-00246-3,DEMO-00246,2026-08-09,Compact B,C,Final,PASS,None,0,2026-08-09T16:00:00
DEMO-00594-2,DEMO-00594,2026-08-20,Compact B,C,Paint,PASS,None,0,2026-08-20T16:00:00
DEMO-00076-3,DEMO-00076,2026-08-03,Compact B,A,Final,PASS,None,0,2026-08-03T16:00:00
DEMO-00568-1,DEMO-00568,2026-08-19,Compact B,A,Body,PASS,None,0,2026-08-19T16:00:00
DEMO-00273-2,DEMO-00273,2026-08-10,Compact A,C,Paint,FAIL,Surface inclusion,18,2026-08-10T16:00:00
DEMO-00059-1,DEMO-00059,2026-08-02,Compact A,B,Body,FAIL,Panel gap,18,2026-08-02T16:00:00
DEMO-00225-3,DEMO-00225,2026-08-08,Compact A,C,Final,PASS,None,0,2026-08-08T16:00:00
DEMO-00134-3,DEMO-00134,2026-08-05,Compact B,B,Final,PASS,None,0,2026-08-05T16:00:00
DEMO-00217-2,DEMO-00217,2026-08-08,Compact A,A,Paint,PASS,None,0,2026-08-08T16:00:00
DEMO-00377-3,DEMO-00377,2026-08-13,Compact A,B,Final,PASS,None,0,2026-08-13T16:00:00
DEMO-00057-1,DEMO-00057,2026-08-02,Compact A,C,Body,PASS,None,0,2026-08-02T16:00:00
DEMO-00816-3,DEMO-00816,2026-08-28,Compact B,C,Final,PASS,None,0,2026-08-28T16:00:00
DEMO-00523-1,DEMO-00523,2026-08-18,Compact A,A,Body,PASS,None,0,2026-08-18T16:00:00
DEMO-00538-3,DEMO-00538,2026-08-18,Compact B,A,Final,PASS,None,0,2026-08-18T16:00:00
DEMO-00535-1,DEMO-00535,2026-08-18,Compact A,A,Body,PASS,None,0,2026-08-18T16:00:00
DEMO-00690-2,DEMO-00690,2026-08-23,Compact B,C,Paint,PASS,None,0,2026-08-23T16:00:00
DEMO-00462-1,DEMO-00462,2026-08-16,Compact B,C,Body,PASS,None,0,2026-08-16T16:00:00
DEMO-00083-1,DEMO-00083,2026-08-03,Compact A,B,Body,PASS,None,0,2026-08-03T16:00:00
DEMO-00609-3,DEMO-00609,2026-08-21,Compact A,C,Final,PASS,None,0,2026-08-21T16:00:00
DEMO-00244-3,DEMO-00244,2026-08-09,Compact B,A,Final,PASS,None,0,2026-08-09T16:00:00
DEMO-00180-1,DEMO-00180,2026-08-06,Compact B,C,Body,PASS,None,0,2026-08-06T16:00:00
DEMO-00036-1,DEMO-00036,2026-08-02,Compact B,C,Body,PASS,None,0,2026-08-02T16:00:00
DEMO-00112-3,DEMO-00112,2026-08-04,Compact B,A,Final,FAIL,Function check,11,2026-08-04T16:00:00
DEMO-00522-3,DEMO-00522,2026-08-18,Compact B,C,Final,PASS,None,0,2026-08-18T16:00:00
DEMO-00669-2,DEMO-00669,2026-08-23,Compact A,C,Paint,PASS,None,0,2026-08-23T16:00:00
DEMO-00810-1,DEMO-00810,2026-08-27,Compact B,C,Body,PASS,None,0,2026-08-27T16:00:00
DEMO-00830-2,DEMO-00830,2026-08-28,Compact B,B,Paint,PASS,None,0,2026-08-28T16:00:00
DEMO-00077-3,DEMO-00077,2026-08-03,Compact A,B,Final,PASS,None,0,2026-08-03T16:00:00
DEMO-00423-3,DEMO-00423,2026-08-15,Compact A,C,Final,PASS,None,0,2026-08-15T16:00:00
DEMO-00508-3,DEMO-00508,2026-08-17,Compact B,A,Final,PASS,None,0,2026-08-17T16:00:00
DEMO-00242-2,DEMO-00242,2026-08-09,Compact B,B,Paint,PASS,None,0,2026-08-09T16:00:00
DEMO-00493-3,DEMO-00493,2026-08-17,Compact A,A,Final,PASS,None,0,2026-08-17T16:00:00
DEMO-00432-3,DEMO-00432,2026-08-15,Compact B,C,Final,PASS,None,0,2026-08-15T16:00:00
DEMO-00149-2,DEMO-00149,2026-08-05,Compact A,B,Paint,FAIL,Paint finish,19,2026-08-05T16:00:00
DEMO-00783-2,DEMO-00783,2026-08-27,Compact A,C,Paint,PASS,None,0,2026-08-27T16:00:00
DEMO-00747-1,DEMO-00747,2026-08-25,Compact A,C,Body,PASS,None,0,2026-08-25T16:00:00
DEMO-00558-1,DEMO-00558,2026-08-19,Compact B,C,Body,PASS,None,0,2026-08-19T16:00:00
DEMO-00840-1,DEMO-00840,2026-08-28,Compact B,C,Body,PASS,None,0,2026-08-28T16:00:00
DEMO-00453-2,DEMO-00453,2026-08-16,Compact A,C,Paint,PASS,None,0,2026-08-16T16:00:00
DEMO-00682-1,DEMO-00682,2026-08-23,Compact B,A,Body,PASS,None,0,2026-08-23T16:00:00
DEMO-00442-3,DEMO-00442,2026-08-15,Compact B,A,Final,PASS,None,0,2026-08-15T16:00:00
DEMO-00224-3,DEMO-00224,2026-08-08,Compact B,B,Final,PASS,None,0,2026-08-08T16:00:00
DEMO-00394-1,DEMO-00394,2026-08-14,Compact B,A,Body,PASS,None,0,2026-08-14T16:00:00
DEMO-00399-2,DEMO-00399,2026-08-14,Compact A,C,Paint,FAIL,Paint finish,28,2026-08-14T16:00:00
DEMO-00697-2,DEMO-00697,2026-08-24,Compact A,A,Paint,PASS,None,0,2026-08-24T16:00:00
DEMO-00163-3,DEMO-00163,2026-08-06,Compact A,A,Final,PASS,None,0,2026-08-06T16:00:00
DEMO-00054-3,DEMO-00054,2026-08-02,Compact B,C,Final,PASS,None,0,2026-08-02T16:00:00
DEMO-00346-3,DEMO-00346,2026-08-12,Compact B,A,Final,PASS,None,0,2026-08-12T16:00:00
DEMO-00602-1,DEMO-00602,2026-08-21,Compact B,B,Body,PASS,None,0,2026-08-21T16:00:00
DEMO-00464-3,DEMO-00464,2026-08-16,Compact B,B,Final,PASS,None,0,2026-08-16T16:00:00
DEMO-00042-1,DEMO-00042,2026-08-02,Compact B,C,Body,PASS,None,0,2026-08-02T16:00:00
DEMO-00021-2,DEMO-00021,2026-08-01,Compact A,C,Paint,PASS,None,0,2026-08-01T16:00:00
DEMO-00589-3,DEMO-00589,2026-08-20,Compact A,A,Final,PASS,None,0,2026-08-20T16:00:00
DEMO-00467-2,DEMO-00467,2026-08-16,Compact A,B,Paint,FAIL,Surface inclusion,47,2026-08-16T16:00:00
DEMO-00020-1,DEMO-00020,2026-08-01,Compact B,B,Body,PASS,None,0,2026-08-01T16:00:00
DEMO-00373-1,DEMO-00373,2026-08-13,Compact A,A,Body,PASS,None,0,2026-08-13T16:00:00
DEMO-00153-3,DEMO-00153,2026-08-06,Compact A,C,Final,PASS,None,0,2026-08-06T16:00:00
DEMO-00490-2,DEMO-00490,2026-08-17,Compact B,A,Paint,PASS,None,0,2026-08-17T16:00:00
DEMO-00827-1,DEMO-00827,2026-08-28,Compact A,B,Body,PASS,None,0,2026-08-28T16:00:00
DEMO-00710-2,DEMO-00710,2026-08-24,Compact B,B,Paint,PASS,None,0,2026-08-24T16:00:00
DEMO-00293-1,DEMO-00293,2026-08-10,Compact A,B,Body,FAIL,Panel gap,35,2026-08-10T16:00:00
DEMO-00252-3,DEMO-00252,2026-08-09,Compact B,C,Final,PASS,None,0,2026-08-09T16:00:00
DEMO-00695-2,DEMO-00695,2026-08-24,Compact A,B,Paint,PASS,None,0,2026-08-24T16:00:00
DEMO-00575-3,DEMO-00575,2026-08-20,Compact A,B,Final,PASS,None,0,2026-08-20T16:00:00
DEMO-00626-1,DEMO-00626,2026-08-21,Compact B,B,Body,PASS,None,0,2026-08-21T16:00:00
DEMO-00563-1,DEMO-00563,2026-08-19,Compact A,B,Body,PASS,None,0,2026-08-19T16:00:00
DEMO-00335-3,DEMO-00335,2026-08-12,Compact A,B,Final,PASS,None,0,2026-08-12T16:00:00
DEMO-00285-1,DEMO-00285,2026-08-10,Compact A,C,Body,PASS,None,0,2026-08-10T16:00:00
DEMO-00410-3,DEMO-00410,2026-08-14,Compact B,B,Final,PASS,None,0,2026-08-14T16:00:00
DEMO-00328-3,DEMO-00328,2026-08-11,Compact B,A,Final,PASS,None,0,2026-08-11T16:00:00
DEMO-00497-3,DEMO-00497,2026-08-17,Compact A,B,Final,PASS,None,0,2026-08-17T16:00:00
DEMO-00427-3,DEMO-00427,2026-08-15,Compact A,A,Final,PASS,None,0,2026-08-15T16:00:00
DEMO-00394-3,DEMO-00394,2026-08-14,Compact B,A,Final,PASS,None,0,2026-08-14T16:00:00
DEMO-00553-3,DEMO-00553,2026-08-19,Compact A,A,Final,PASS,None,0,2026-08-19T16:00:00
DEMO-00778-2,DEMO-00778,2026-08-26,Compact B,A,Paint,PASS,None,0,2026-08-26T16:00:00
DEMO-00215-2,DEMO-00215,2026-08-08,Compact A,B,Paint,PASS,None,0,2026-08-08T16:00:00
DEMO-00342-2,DEMO-00342,2026-08-12,Compact B,C,Paint,PASS,None,0,2026-08-12T16:00:00
DEMO-00517-1,DEMO-00517,2026-08-18,Compact A,A,Body,PASS,None,0,2026-08-18T16:00:00
DEMO-00142-1,DEMO-00142,2026-08-05,Compact B,A,Body,FAIL,Panel gap,47,2026-08-05T16:00:00
DEMO-00302-1,DEMO-00302,2026-08-11,Compact B,B,Body,PASS,None,0,2026-08-11T16:00:00
DEMO-00524-3,DEMO-00524,2026-08-18,Compact B,B,Final,PASS,None,0,2026-08-18T16:00:00
DEMO-00765-3,DEMO-00765,2026-08-26,Compact A,C,Final,PASS,None,0,2026-08-26T16:00:00
DEMO-00624-2,DEMO-00624,2026-08-21,Compact B,C,Paint,FAIL,Paint finish,39,2026-08-21T16:00:00
DEMO-00445-3,DEMO-00445,2026-08-15,Compact A,A,Final,PASS,None,0,2026-08-15T16:00:00
DEMO-00614-2,DEMO-00614,2026-08-21,Compact B,B,Paint,PASS,None,0,2026-08-21T16:00:00
DEMO-00090-1,DEMO-00090,2026-08-03,Compact B,C,Body,FAIL,Panel gap,14,2026-08-03T16:00:00
DEMO-00623-3,DEMO-00623,2026-08-21,Compact A,B,Final,PASS,None,0,2026-08-21T16:00:00
DEMO-00220-2,DEMO-00220,2026-08-08,Compact B,A,Paint,PASS,None,0,2026-08-08T16:00:00
DEMO-00705-1,DEMO-00705,2026-08-24,Compact A,C,Body,PASS,None,0,2026-08-24T16:00:00
DEMO-00097-3,DEMO-00097,2026-08-04,Compact A,A,Final,PASS,None,0,2026-08-04T16:00:00
DEMO-00532-3,DEMO-00532,2026-08-18,Compact B,A,Final,PASS,None,0,2026-08-18T16:00:00
DEMO-00530-2,DEMO-00530,2026-08-18,Compact B,B,Paint,PASS,None,0,2026-08-18T16:00:00
DEMO-00678-1,DEMO-00678,2026-08-23,Compact B,C,Body,PASS,None,0,2026-08-23T16:00:00
DEMO-00629-2,DEMO-00629,2026-08-21,Compact A,B,Paint,PASS,None,0,2026-08-21T16:00:00
DEMO-00171-3,DEMO-00171,2026-08-06,Compact A,C,Final,PASS,None,0,2026-08-06T16:00:00
DEMO-00137-1,DEMO-00137,2026-08-05,Compact A,B,Body,FAIL,Weld appearance,14,2026-08-05T16:00:00
DEMO-00368-2,DEMO-00368,2026-08-13,Compact B,B,Paint,PASS,None,0,2026-08-13T16:00:00
DEMO-00382-3,DEMO-00382,2026-08-13,Compact B,A,Final,PASS,None,0,2026-08-13T16:00:00
DEMO-00317-3,DEMO-00317,2026-08-11,Compact A,B,Final,PASS,None,0,2026-08-11T16:00:00
DEMO-00834-2,DEMO-00834,2026-08-28,Compact B,C,Paint,FAIL,Paint finish,29,2026-08-28T16:00:00
DEMO-00367-2,DEMO-00367,2026-08-13,Compact A,A,Paint,PASS,None,0,2026-08-13T16:00:00
DEMO-00589-2,DEMO-00589,2026-08-20,Compact A,A,Paint,PASS,None,0,2026-08-20T16:00:00
DEMO-00780-2,DEMO-00780,2026-08-26,Compact B,C,Paint,PASS,None,0,2026-08-26T16:00:00
DEMO-00706-3,DEMO-00706,2026-08-24,Compact B,A,Final,FAIL,Function check,14,2026-08-24T16:00:00
DEMO-00063-2,DEMO-00063,2026-08-03,Compact A,C,Paint,PASS,None,0,2026-08-03T16:00:00
DEMO-00383-1,DEMO-00383,2026-08-13,Compact A,B,Body,PASS,None,0,2026-08-13T16:00:00
DEMO-00494-2,DEMO-00494,2026-08-17,Compact B,B,Paint,PASS,None,0,2026-08-17T16:00:00
DEMO-00720-2,DEMO-00720,2026-08-24,Compact B,C,Paint,PASS,None,0,2026-08-24T16:00:00
DEMO-00205-3,DEMO-00205,2026-08-07,Compact A,A,Final,FAIL,Fit and finish,28,2026-08-07T16:00:00
DEMO-00478-1,DEMO-00478,2026-08-16,Compact B,A,Body,PASS,None,0,2026-08-16T16:00:00
DEMO-00658-3,DEMO-00658,2026-08-22,Compact B,A,Final,PASS,None,0,2026-08-22T16:00:00
DEMO-00468-3,DEMO-00468,2026-08-16,Compact B,C,Final,FAIL,Function check,28,2026-08-16T16:00:00
DEMO-00288-1,DEMO-00288,2026-08-10,Compact B,C,Body,PASS,None,0,2026-08-10T16:00:00
DEMO-00092-1,DEMO-00092,2026-08-04,Compact B,B,Body,PASS,None,0,2026-08-04T16:00:00
DEMO-00632-2,DEMO-00632,2026-08-22,Compact B,B,Paint,PASS,None,0,2026-08-22T16:00:00
DEMO-00478-3,DEMO-00478,2026-08-16,Compact B,A,Final,PASS,None,0,2026-08-16T16:00:00
DEMO-00137-3,DEMO-00137,2026-08-05,Compact A,B,Final,PASS,None,0,2026-08-05T16:00:00
DEMO-00412-2,DEMO-00412,2026-08-14,Compact B,A,Paint,PASS,None,0,2026-08-14T16:00:00
DEMO-00767-2,DEMO-00767,2026-08-26,Compact A,B,Paint,PASS,None,0,2026-08-26T16:00:00
DEMO-00598-1,DEMO-00598,2026-08-20,Compact B,A,Body,PASS,None,0,2026-08-20T16:00:00
DEMO-00182-1,DEMO-00182,2026-08-07,Compact B,B,Body,PASS,None,0,2026-08-07T16:00:00
DEMO-00192-1,DEMO-00192,2026-08-07,Compact B,C,Body,PASS,None,0,2026-08-07T16:00:00
DEMO-00814-3,DEMO-00814,2026-08-28,Compact B,A,Final,PASS,None,0,2026-08-28T16:00:00
DEMO-00168-3,DEMO-00168,2026-08-06,Compact B,C,Final,PASS,None,0,2026-08-06T16:00:00
DEMO-00260-1,DEMO-00260,2026-08-09,Compact B,B,Body,PASS,None,0,2026-08-09T16:00:00
DEMO-00470-2,DEMO-00470,2026-08-16,Compact B,B,Paint,PASS,None,0,2026-08-16T16:00:00
DEMO-00655-1,DEMO-00655,2026-08-22,Compact A,A,Body,PASS,None,0,2026-08-22T16:00:00
DEMO-00081-3,DEMO-00081,2026-08-03,Compact A,C,Final,PASS,None,0,2026-08-03T16:00:00
DEMO-00355-3,DEMO-00355,2026-08-12,Compact A,A,Final,FAIL,Function check,31,2026-08-12T16:00:00
DEMO-00029-2,DEMO-00029,2026-08-01,Compact A,B,Paint,PASS,None,0,2026-08-01T16:00:00
DEMO-00345-2,DEMO-00345,2026-08-12,Compact A,C,Paint,PASS,None,0,2026-08-12T16:00:00
DEMO-00220-1,DEMO-00220,2026-08-08,Compact B,A,Body,PASS,None,0,2026-08-08T16:00:00
DEMO-00300-2,DEMO-00300,2026-08-10,Compact B,C,Paint,PASS,None,0,2026-08-10T16:00:00
DEMO-00598-3,DEMO-00598,2026-08-20,Compact B,A,Final,PASS,None,0,2026-08-20T16:00:00
DEMO-00104-2,DEMO-00104,2026-08-04,Compact B,B,Paint,PASS,None,0,2026-08-04T16:00:00
DEMO-00366-1,DEMO-00366,2026-08-13,Compact B,C,Body,PASS,None,0,2026-08-13T16:00:00
DEMO-00218-1,DEMO-00218,2026-08-08,Compact B,B,Body,PASS,None,0,2026-08-08T16:00:00
DEMO-00297-2,DEMO-00297,2026-08-10,Compact A,C,Paint,PASS,None,0,2026-08-10T16:00:00
DEMO-00580-3,DEMO-00580,2026-08-20,Compact B,A,Final,PASS,None,0,2026-08-20T16:00:00
DEMO-00012-1,DEMO-00012,2026-08-01,Compact B,C,Body,PASS,None,0,2026-08-01T16:00:00
DEMO-00230-2,DEMO-00230,2026-08-08,Compact B,B,Paint,PASS,None,0,2026-08-08T16:00:00
DEMO-00456-2,DEMO-00456,2026-08-16,Compact B,C,Paint,PASS,None,0,2026-08-16T16:00:00
DEMO-00397-2,DEMO-00397,2026-08-14,Compact A,A,Paint,PASS,None,0,2026-08-14T16:00:00
DEMO-00311-2,DEMO-00311,2026-08-11,Compact A,B,Paint,PASS,None,0,2026-08-11T16:00:00
DEMO-00332-3,DEMO-00332,2026-08-12,Compact B,B,Final,PASS,None,0,2026-08-12T16:00:00
DEMO-00370-1,DEMO-00370,2026-08-13,Compact B,A,Body,PASS,None,0,2026-08-13T16:00:00
DEMO-00346-1,DEMO-00346,2026-08-12,Compact B,A,Body,PASS,None,0,2026-08-12T16:00:00
DEMO-00537-1,DEMO-00537,2026-08-18,Compact A,C,Body,PASS,None,0,2026-08-18T16:00:00
DEMO-00163-2,DEMO-00163,2026-08-06,Compact A,A,Paint,PASS,None,0,2026-08-06T16:00:00
DEMO-00304-3,DEMO-00304,2026-08-11,Compact B,A,Final,PASS,None,0,2026-08-11T16:00:00
DEMO-00586-2,DEMO-00586,2026-08-20,Compact B,A,Paint,PASS,None,0,2026-08-20T16:00:00
DEMO-00073-2,DEMO-00073,2026-08-03,Compact A,A,Paint,PASS,None,0,2026-08-03T16:00:00
DEMO-00175-1,DEMO-00175,2026-08-06,Compact A,A,Body,PASS,None,0,2026-08-06T16:00:00
